Unnamed: 0,Year,Datetime,Stage,Stadium,City,Host Country,latitude,longitude,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,RoundID,MatchID,Home Team Initials,Away Team Initials,WinningTeam,HomeAwayWin,HalftimeWin,GoalsTotal,GoalsDiff
0,1930,13 Jul 1930 - 15:00,Group 1,Pocitos,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,France,4,1,Mexico, ,4444.0,3,0,LOMBARDI Domingo (URU),CRISTOPHE Henry (BEL),REGO Gilberto (BRA),201,1096,FRA,MEX,France,Home,Home,5,3
1,1930,13 Jul 1930 - 15:00,Group 4,Parque Central,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,USA,3,0,Belgium, ,18346.0,2,0,MACIAS Jose (ARG),MATEUCCI Francisco (URU),WARNKEN Alberto (CHI),201,1090,USA,BEL,USA,Home,Home,3,3
2,1930,14 Jul 1930 - 12:45,Group 2,Parque Central,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Yugoslavia,2,1,Brazil, ,24059.0,2,0,TEJADA Anibal (URU),VALLARINO Ricardo (URU),BALWAY Thomas (FRA),201,1093,YUG,BRA,Yugoslavia,Home,Home,3,1
3,1930,14 Jul 1930 - 14:50,Group 3,Pocitos,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Romania,3,1,Peru, ,2549.0,1,0,WARNKEN Alberto (CHI),LANGENUS Jean (BEL),MATEUCCI Francisco (URU),201,1098,ROU,PER,Romania,Home,Home,4,2
4,1930,15 Jul 1930 - 16:00,Group 1,Parque Central,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Argentina,1,0,France, ,23409.0,0,0,REGO Gilberto (BRA),SAUCEDO Ulises (BOL),RADULESCU Constantin (ROU),201,1085,ARG,FRA,Argentina,Home,Draw,1,1
5,1930,16 Jul 1930 - 14:45,Group 1,Parque Central,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Chile,3,0,Mexico, ,9249.0,1,0,CRISTOPHE Henry (BEL),APHESTEGUY Martin (URU),LANGENUS Jean (BEL),201,1095,CHI,MEX,Chile,Home,Home,3,3
6,1930,17 Jul 1930 - 12:45,Group 2,Parque Central,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Yugoslavia,4,0,Bolivia, ,18306.0,0,0,MATEUCCI Francisco (URU),LOMBARDI Domingo (URU),WARNKEN Alberto (CHI),201,1092,YUG,BOL,Yugoslavia,Home,Draw,4,4
7,1930,17 Jul 1930 - 14:45,Group 4,Parque Central,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,USA,3,0,Paraguay, ,18306.0,2,0,MACIAS Jose (ARG),APHESTEGUY Martin (URU),TEJADA Anibal (URU),201,1097,USA,PAR,USA,Home,Home,3,3
8,1930,18 Jul 1930 - 14:30,Group 3,Estadio Centenario,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Uruguay,1,0,Peru, ,57735.0,0,0,LANGENUS Jean (BEL),BALWAY Thomas (FRA),CRISTOPHE Henry (BEL),201,1099,URU,PER,Uruguay,Home,Draw,1,1
9,1930,19 Jul 1930 - 12:50,Group 1,Estadio Centenario,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Chile,1,0,France, ,2000.0,0,0,TEJADA Anibal (URU),LOMBARDI Domingo (URU),REGO Gilberto (BRA),201,1094,CHI,FRA,Chile,Home,Draw,1,1
10,1930,19 Jul 1930 - 15:00,Group 1,Estadio Centenario,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Argentina,6,3,Mexico, ,42100.0,3,1,SAUCEDO Ulises (BOL),ALONSO Gualberto (URU),RADULESCU Constantin (ROU),201,1086,ARG,MEX,Argentina,Home,Home,9,3
11,1930,20 Jul 1930 - 13:00,Group 2,Estadio Centenario,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Brazil,4,0,Bolivia, ,25466.0,1,0,BALWAY Thomas (FRA),MATEUCCI Francisco (URU),VALLEJO Gaspar (MEX),201,1091,BRA,BOL,Brazil,Home,Home,4,4
12,1930,20 Jul 1930 - 15:00,Group 4,Estadio Centenario,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Paraguay,1,0,Belgium, ,12000.0,1,0,VALLARINO Ricardo (URU),MACIAS Jose (ARG),LOMBARDI Domingo (URU),201,1089,PAR,BEL,Paraguay,Home,Home,1,1
13,1930,21 Jul 1930 - 14:50,Group 3,Estadio Centenario,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Uruguay,4,0,Romania, ,70022.0,4,0,REGO Gilberto (BRA),WARNKEN Alberto (CHI),SAUCEDO Ulises (BOL),201,1100,URU,ROU,Uruguay,Home,Home,4,4
14,1930,22 Jul 1930 - 14:45,Group 1,Estadio Centenario,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Argentina,3,1,Chile, ,41459.0,2,1,LANGENUS Jean (BEL),CRISTOPHE Henry (BEL),SAUCEDO Ulises (BOL),201,1084,ARG,CHI,Argentina,Home,Home,4,2
15,1930,26 Jul 1930 - 14:45,Semi-finals,Estadio Centenario,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Argentina,6,1,USA, ,72886.0,1,0,LANGENUS Jean (BEL),VALLEJO Gaspar (MEX),WARNKEN Alberto (CHI),202,1088,ARG,USA,Argentina,Home,Home,7,5
16,1930,27 Jul 1930 - 14:45,Semi-finals,Estadio Centenario,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Uruguay,6,1,Yugoslavia, ,79867.0,3,1,REGO Gilberto (BRA),SAUCEDO Ulises (BOL),BALWAY Thomas (FRA),202,1101,URU,YUG,Uruguay,Home,Home,7,5
17,1930,30 Jul 1930 - 14:15,Final,Estadio Centenario,Montevideo ,Uruguay,-34.905891600000000,-56.1913095,Uruguay,4,2,Argentina, ,68346.0,1,2,LANGENUS Jean (BEL),SAUCEDO Ulises (BOL),CRISTOPHE Henry (BEL),405,1087,URU,ARG,Uruguay,Home,Away,6,2
18,1934,27 May 1934 - 16:30,Preliminary round,Stadio Benito Mussolini,Turin ,Italy,45.06775510000000,7.682489200000000,Austria,3,2,France,Austria win after extra time ,16000.0,0,0,VAN MOORSEL Johannes (NED),CAIRONI Camillo (ITA),BAERT Louis (BEL),204,1104,AUT,FRA,Austria,Home,Draw,5,1
19,1934,27 May 1934 - 16:30,Preliminary round,Giorgio Ascarelli,Naples ,Italy,40.8359336,14.2487826,Hungary,4,2,Egypt, ,9000.0,2,2,BARLASSINA Rinaldo (ITA),DATTILO Generoso (ITA),SASSI Otello (ITA),204,1119,HUN,EGY,Hungary,Home,Draw,6,2
20,1934,27 May 1934 - 16:30,Preliminary round,San Siro,Milan ,Italy,45.4668,9.1905,Switzerland,3,2,Netherlands, ,33000.0,2,1,EKLIND Ivan (SWE),BERANEK Alois (AUT),BONIVENTO Ferruccio (ITA),204,1133,SUI,NED,Switzerland,Home,Home,5,1
21,1934,27 May 1934 - 16:30,Preliminary round,Littorale,Bologna ,Italy,44.4937577,11.3430308,Sweden,3,2,Argentina, ,14000.0,1,1,BRAUN Eugen (AUT),CARRARO Albino (ITA),TURBIANI Giuseppe (ITA),204,1102,SWE,ARG,Sweden,Home,Draw,5,1
22,1934,27 May 1934 - 16:30,Preliminary round,Giovanni Berta,Florence ,Italy,43.7698712,11.2555757,Germany,5,2,Belgium, ,8000.0,1,2,MATTEA Francesco (ITA),MELANDRI Ermenegildo (ITA),BAERT Jacques (FRA),204,1108,GER,BEL,Germany,Home,Away,7,3
23,1934,27 May 1934 - 16:30,Preliminary round,Luigi Ferraris,Genoa ,Italy,44.40726,8.9338624,Spain,3,1,Brazil, ,21000.0,3,0,BIRLEM Alfred (GER),CARMINATI Ettore (ITA),IVANCSICS Mihaly (HUN),204,1111,ESP,BRA,Spain,Home,Home,4,2
24,1934,27 May 1934 - 16:30,Preliminary round,Nazionale PNF,Rome ,Italy,41.8933203,12.4829321,Italy,7,1,USA, ,25000.0,3,0,MERCET Rene (SUI),ESCARTIN Pedro (ESP),ZENISEK Bohumil (TCH),204,1135,ITA,USA,Italy,Home,Home,8,6
25,1934,27 May 1934 - 16:30,Preliminary round,Littorio,Trieste ,Italy,45.6504806,13.7931263,Czechoslovakia,2,1,Romania, ,9000.0,0,1,LANGENUS Jean (BEL),SCARPI Giuseppe (ITA),SCORZONI Raffaele (ITA),204,1141,TCH,ROU,Czechoslovakia,Home,Away,3,1
26,1934,31 May 1934 - 16:30,Quarter-finals,Stadio Benito Mussolini,Turin ,Italy,45.06775510000000,7.682489200000000,Czechoslovakia,3,2,Switzerland, ,12000.0,1,1,BERANEK Alois (AUT),MOHAMED Youssuf (EGY),BAERT Jacques (FRA),418,1143,TCH,SUI,Czechoslovakia,Home,Draw,5,1
27,1934,31 May 1934 - 16:30,Quarter-finals,San Siro,Milan ,Italy,45.4668,9.1905,Germany,2,1,Sweden, ,3000.0,0,0,BARLASSINA Rinaldo (ITA),MERCET Rene (SUI),VAN MOORSEL Johannes (NED),418,1129,GER,SWE,Germany,Home,Draw,3,1
28,1934,31 May 1934 - 16:30,Quarter-finals,Giovanni Berta,Florence ,Italy,43.7698712,11.2555757,Italy,1,1,Spain, ,35000.0,0,0,BAERT Louis (BEL),ZENISEK Bohumil (TCH),IVANCSICS Mihaly (HUN),418,1122,ITA,ESP,Draw,Draw,Draw,2,0
29,1934,31 May 1934 - 16:30,Quarter-finals,Littorale,Bologna ,Italy,44.4937577,11.3430308,Austria,2,1,Hungary, ,23000.0,1,0,MATTEA Francesco (ITA),ESCARTIN Pedro (ESP),BIRLEM Alfred (GER),418,1106,AUT,HUN,Austria,Home,Home,3,1
30,1934,01 Jun 1934 - 16:30,Quarter-finals,Giovanni Berta,Florence ,Italy,43.7698712,11.2555757,Italy,1,0,Spain, ,43000.0,1,0,MERCET Rene (SUI),IVANCSICS Mihaly (HUN),ZENISEK Bohumil (TCH),418,1123,ITA,ESP,Italy,Home,Home,1,1
31,1934,03 Jun 1934 - 16:30,Semi-finals,San Siro,Milan ,Italy,45.4668,9.1905,Italy,1,0,Austria, ,35000.0,1,0,EKLIND Ivan (SWE),BAERT Louis (BEL),ZENISEK Bohumil (TCH),3492,1107,ITA,AUT,Italy,Home,Home,1,1
32,1934,03 Jun 1934 - 16:30,Semi-finals,Nazionale PNF,Rome ,Italy,41.8933203,12.4829321,Czechoslovakia,3,1,Germany, ,15000.0,1,0,BARLASSINA Rinaldo (ITA),BERANEK Alois (AUT),ESCARTIN Pedro (ESP),3492,1130,TCH,GER,Czechoslovakia,Home,Home,4,2
33,1934,07 Jun 1934 - 18:00,Match for third place,Giorgio Ascarelli,Naples ,Italy,40.8359336,14.2487826,Germany,3,2,Austria, ,7000.0,3,1,CARRARO Albino (ITA),CAIRONI Camillo (ITA),ESCARTIN Pedro (ESP),3491,1105,GER,AUT,Germany,Home,Home,5,1
34,1934,10 Jun 1934 - 17:30,Final,Nazionale PNF,Rome ,Italy,41.8933203,12.4829321,Italy,2,1,Czechoslovakia,Italy win after extra time ,55000.0,0,0,EKLIND Ivan (SWE),BAERT Louis (BEL),IVANCSICS Mihaly (HUN),3490,1134,ITA,TCH,Italy,Home,Draw,3,1
35,1938,04 Jun 1938 - 17:00,First round,Parc des Princes,Paris ,France,48.8566969,2.3514616000000000,Switzerland,1,1,Germany, ,27152.0,0,0,LANGENUS Jean (BEL),MARENCO Paul (FRA),VAN MOORSEL Johannes (NED),206,1165,SUI,GER,Draw,Draw,Draw,2,0
36,1938,05 Jun 1938 - 17:00,First round,Velodrome Municipale,Reims ,France,49.2577886,4.031926,Hungary,6,0,Dutch East Indies, ,9000.0,4,0,CONRIE Roger (FRA),DE LA SALLE Charles (FRA),WEINGARTNER Karl (AUT),206,1173,HUN,INH,Hungary,Home,Home,6,6
37,1938,05 Jun 1938 - 17:00,First round,Stade Olympique,Colombes ,France,48.922788,2.2543577,France,3,1,Belgium, ,30454.0,2,1,WUETHRICH Hans (SUI),KRIST Gustav (TCH),BIRLEM Alfred (GER),206,1146,FRA,BEL,France,Home,Home,4,2
38,1938,05 Jun 1938 - 17:00,First round,Stade Municipal,Toulouse ,France,43.6044622,1.4442469,Cuba,3,3,Romania, ,7000.0,0,0,SCARPI Giuseppe (ITA),VALPREDE Ferdinand (FRA),MERKCX Jean (FRA),206,1156,CUB,ROU,Draw,Draw,Draw,6,0
39,1938,05 Jun 1938 - 17:00,First round,Stade V�lodrome,Marseilles ,France,47.0706778,3.0029271,Italy,2,1,Norway,Italy win after extra time ,19000.0,0,0,BERANEK Alois (AUT),BOUTOURE D. (FRA),TREHOU D. (FRA),206,1179,ITA,NOR,Italy,Home,Draw,3,1
40,1938,05 Jun 1938 - 17:30,First round,Stade de la Meinau,Strasbourg ,France,48.584614,7.750712700000000,Brazil,6,5,Poland,Brazil win after extra time ,13452.0,0,0,EKLIND Ivan (SWE),POISSANT Louis (FRA),KISSENBERGER Ernest (FRA),206,1150,BRA,POL,Brazil,Home,Draw,11,1
41,1938,05 Jun 1938 - 18:30,First round,Cavee Verte,Le Havre ,France,49.4938975,0.1079732,Czechoslovakia,3,0,Netherlands,Czechoslovakia win after extra time ,11000.0,0,0,LECLERCQ Lucien (FRA),OLIVE D. (FRA),SDEZ Victor (FRA),206,1172,TCH,NED,Czechoslovakia,Home,Draw,3,3
42,1938,09 Jun 1938 - 18:00,First round,Stade Municipal,Toulouse ,France,43.6044622,1.4442469,Cuba,2,1,Romania, ,8000.0,0,1,BIRLEM Alfred (GER),CAPDEVILLE Pierre (FRA),MARENCO Paul (FRA),206,1157,CUB,ROU,Cuba,Home,Away,3,1
43,1938,09 Jun 1938 - 18:00,First round,Parc des Princes,Paris ,France,48.8566969,2.3514616000000000,Switzerland,4,2,Germany, ,20025.0,1,2,EKLIND Ivan (SWE),BAERT Louis (BEL),VAN MOORSEL Johannes (NED),206,1166,SUI,GER,Switzerland,Home,Away,6,2
44,1938,12 Jun 1938 - 17:00,Quarter-finals,Stade du Parc Lescure,Bordeaux ,France,44.841225,-0.5800364,Brazil,1,1,Czechoslovakia, ,22021.0,0,0,VON HERTZKA Pal (HUN),SCARPI Giuseppe (ITA),DE LA SALLE Charles (FRA),429,1152,BRA,TCH,Draw,Draw,Draw,2,0
45,1938,12 Jun 1938 - 17:00,Quarter-finals,Victor Boucquey,Lille ,France,50.6365654,3.0635282000000000,Hungary,2,0,Switzerland, ,15000.0,1,0,BARLASSINA Rinaldo (ITA),BERANEK Alois (AUT),BOUTOURE D. (FRA),429,1175,HUN,SUI,Hungary,Home,Home,2,2
46,1938,12 Jun 1938 - 17:00,Quarter-finals,Fort Carree,Antibes ,France,43.5836,7.10905,Sweden,8,0,Cuba, ,7000.0,4,0,KRIST Gustav (TCH),WEINGARTNER Karl (AUT),SDEZ Victor (FRA),429,1158,SWE,CUB,Sweden,Home,Home,8,8
47,1938,12 Jun 1938 - 17:00,Quarter-finals,Stade Olympique,Colombes ,France,48.922788,2.2543577,Italy,3,1,France, ,58455.0,1,1,BAERT Louis (BEL),WUETHRICH Hans (SUI),EKLIND Ivan (SWE),429,1164,ITA,FRA,Italy,Home,Draw,4,2
48,1938,14 Jun 1938 - 18:00,Quarter-finals,Stade du Parc Lescure,Bordeaux ,France,44.841225,-0.5800364,Brazil,2,1,Czechoslovakia, ,18141.0,0,1,CAPDEVILLE Georges (FRA),MARENCO Paul (FRA),KISSENBERGER Ernest (FRA),429,1153,BRA,TCH,Brazil,Home,Away,3,1
49,1938,16 Jun 1938 - 18:00,Semi-finals,Parc des Princes,Paris ,France,48.8566969,2.3514616000000000,Hungary,5,1,Sweden, ,20000.0,3,1,LECLERCQ Lucien (FRA),VAN MOORSEL Johannes (NED),SCARPI Giuseppe (ITA),3489,1176,HUN,SWE,Hungary,Home,Home,6,4
50,1938,16 Jun 1938 - 18:00,Semi-finals,Stade V�lodrome,Marseilles ,France,47.0706778,3.0029271,Italy,2,1,Brazil, ,33000.0,0,0,WUETHRICH Hans (SUI),BERANEK Alois (AUT),MARENCO Paul (FRA),3489,1149,ITA,BRA,Italy,Home,Draw,3,1
51,1938,19 Jun 1938 - 17:00,Match for third place,Stade du Parc Lescure,Bordeaux ,France,44.841225,-0.5800364,Brazil,4,2,Sweden, ,12000.0,1,2,LANGENUS Jean (BEL),OLIVE D. (FRA),VALPREDE Ferdinand (FRA),3488,1151,BRA,SWE,Brazil,Home,Away,6,2
52,1938,19 Jun 1938 - 17:00,Final,Stade Olympique,Colombes ,France,48.922788,2.2543577,Italy,4,2,Hungary, ,45000.0,3,1,CAPDEVILLE Georges (FRA),WUETHRICH Hans (SUI),KRIST Gustav (TCH),3487,1174,ITA,HUN,Italy,Home,Home,6,2
53,1950,24 Jun 1950 - 15:00,Group 1,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,-22.9110137,-43.2093727,Brazil,4,0,Mexico, ,81649.0,1,0,READER George (ENG),GRIFFITHS Benjamin (WAL),MITCHELL George (SCO),208,1187,BRA,MEX,Brazil,Home,Home,4,4
54,1950,25 Jun 1950 - 15:00,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,-22.9110137,-43.2093727,England,2,0,Chile, ,29703.0,1,0,VAN DER MEER Karel (NED),GARDELLI Mario (BRA),DAHLNER Gunnar (SWE),208,1192,ENG,CHI,England,Home,Home,2,2
55,1950,25 Jun 1950 - 15:00,Group 2,Durival de Brito,Curitiba ,Brazil,-25.4295963,-49.2712724,Spain,3,1,USA, ,9511.0,0,1,VIANA Mario (BRA),DA COSTA VIEIRA Jose (POR),DE LA SALLE Charles (FRA),208,1208,ESP,USA,Spain,Home,Away,4,2
56,1950,25 Jun 1950 - 15:00,Group 3,Pacaembu,Sao Paulo ,Brazil,-23.5506507,-46.6333824,Sweden,3,2,Italy, ,36502.0,2,1,LUTZ Jean (SUI),BERANEK Alois (AUT),TEJADA Carlos (MEX),208,1219,SWE,ITA,Sweden,Home,Home,5,1
57,1950,25 Jun 1950 - 15:00,Group 1,Independencia,Belo Horizonte ,Brazil,-19.9227318,-43.9450948,Yugoslavia,3,0,Switzerland, ,7336.0,0,0,GALEATI Giovanni (ITA),EKLIND Ivan (SWE),DATTILO Generoso (ITA),208,1230,YUG,SUI,Yugoslavia,Home,Draw,3,3
58,1950,28 Jun 1950 - 15:00,Group 1,Pacaembu,Sao Paulo ,Brazil,-23.5506507,-46.6333824,Brazil,2,2,Switzerland, ,42032.0,2,1,AZON ROMA Ramon (ESP),BUSTAMANTE Sergio (CHI),DE NICOLA Cayetano (PAR),208,1188,BRA,SUI,Draw,Draw,Home,4,0
59,1950,28 Jun 1950 - 15:00,Group 1,Eucaliptos,Porto Alegre ,Brazil,-30.0324999,-51.23037670000000,Yugoslavia,4,1,Mexico, ,11078.0,2,0,LEAFE Reginald (ENG),DAHLNER Gunnar (SWE),VAN DER MEER Karel (NED),208,1225,YUG,MEX,Yugoslavia,Home,Home,5,3
60,1950,29 Jun 1950 - 15:00,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,-22.9110137,-43.2093727,Spain,2,0,Chile, ,19790.0,2,0,MALCHER Alberto (BRA),MARINO Esteban (URU),ALVAREZ Alfredo (BOL),208,1193,ESP,CHI,Spain,Home,Home,2,2
61,1950,29 Jun 1950 - 15:30,Group 3,Durival de Brito,Curitiba ,Brazil,-25.4295963,-49.2712724,Sweden,2,2,Paraguay, ,7903.0,2,1,MITCHELL Robert (SCO),LEMESIC Leo (YUG),GARCIA Prudencio (USA),208,1228,SWE,PAR,Draw,Draw,Home,4,0
62,1950,29 Jun 1950 - 15:00,Group 2,Independencia,Belo Horizonte ,Brazil,-19.9227318,-43.9450948,USA,1,0,England, ,10151.0,1,0,DATTILO Generoso (ITA),DE LA SALLE Charles (FRA),GALEATI Giovanni (ITA),208,1202,USA,ENG,USA,Home,Home,1,1
63,1950,01 Jul 1950 - 15:00,Group 1,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,-22.9110137,-43.2093727,Brazil,2,0,Yugoslavia, ,142429.0,1,0,GRIFFITHS Benjamin (WAL),BERANEK Alois (AUT),DA COSTA VIEIRA Jose (POR),208,1191,BRA,YUG,Brazil,Home,Home,2,2
64,1950,02 Jul 1950 - 15:00,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,-22.9110137,-43.2093727,Spain,1,0,England, ,74462.0,0,0,GALEATI Giovanni (ITA),LUTZ Jean (SUI),DATTILO Generoso (ITA),208,1199,ESP,ENG,Spain,Home,Draw,1,1
65,1950,02 Jul 1950 - 15:00,Group 3,Pacaembu,Sao Paulo ,Brazil,-23.5506507,-46.6333824,Italy,2,0,Paraguay, ,25811.0,1,0,ELLIS Arthur (ENG),GARCIA Prudencio (USA),DE LA SALLE Charles (FRA),208,1218,ITA,PAR,Italy,Home,Home,2,2
66,1950,02 Jul 1950 - 15:00,Group 4,Independencia,Belo Horizonte ,Brazil,-19.9227318,-43.9450948,Uruguay,8,0,Bolivia, ,5284.0,4,0,READER George (ENG),VIANA Mario (BRA),LEMESIC Leo (YUG),208,1185,URU,BOL,Uruguay,Home,Home,8,8
67,1950,02 Jul 1950 - 15:40,Group 1,Eucaliptos,Porto Alegre ,Brazil,-30.0324999,-51.23037670000000,Switzerland,2,1,Mexico, ,3580.0,2,0,EKLIND Ivan (SWE),DAHLNER Gunnar (SWE),BUSTAMANTE Sergio (CHI),208,1222,SUI,MEX,Switzerland,Home,Home,3,1
68,1950,02 Jul 1950 - 15:00,Group 2,Ilha do Retiro,Recife ,Brazil,-8.0584933,-34.8848193,Chile,5,2,USA, ,8501.0,2,0,GARDELLI Mario (BRA),HEYEN Mario Ruben (PAR),ALVAREZ Alfredo (BOL),208,1194,CHI,USA,Chile,Home,Home,7,3
69,1950,09 Jul 1950 - 15:00,Group 6,Pacaembu,Sao Paulo ,Brazil,-23.5506507,-46.6333824,Uruguay,2,2,Spain, ,44802.0,1,2,GRIFFITHS Benjamin (WAL),DATTILO Generoso (ITA),ALVAREZ Alfredo (BOL),209,1207,URU,ESP,Draw,Draw,Away,4,0
70,1950,09 Jul 1950 - 15:00,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,-22.9110137,-43.2093727,Brazil,7,1,Sweden, ,138886.0,3,0,ELLIS Arthur (ENG),GARCIA Prudencio (USA),DE LA SALLE Charles (FRA),209,1189,BRA,SWE,Brazil,Home,Home,8,6
71,1950,13 Jul 1950 - 15:00,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,-22.9110137,-43.2093727,Brazil,6,1,Spain, ,152772.0,3,0,LEAFE Reginald (ENG),MITCHELL George (SCO),DA COSTA VIEIRA Jose (POR),209,1186,BRA,ESP,Brazil,Home,Home,7,5
72,1950,13 Jul 1950 - 15:00,Group 6,Pacaembu,Sao Paulo ,Brazil,-23.5506507,-46.6333824,Uruguay,3,2,Sweden, ,7987.0,1,2,GALEATI Giovanni (ITA),BERANEK Alois (AUT),DE NICOLA Cayetano (PAR),209,1231,URU,SWE,Uruguay,Home,Away,5,1
73,1950,16 Jul 1950 - 15:00,Group 6,Pacaembu,Sao Paulo ,Brazil,-23.5506507,-46.6333824,Sweden,3,1,Spain, ,11227.0,2,0,VAN DER MEER Karel (NED),LUTZ Jean (SUI),GARCIA Prudencio (USA),209,1206,SWE,ESP,Sweden,Home,Home,4,2
74,1950,16 Jul 1950 - 15:00,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,-22.9110137,-43.2093727,Uruguay,2,1,Brazil, ,173850.0,0,0,READER George (ENG),ELLIS Arthur (ENG),MITCHELL George (SCO),209,1190,URU,BRA,Uruguay,Home,Draw,3,1
75,1954,16 Jun 1954 - 18:00,Group 3,Wankdorf Stadium,Berne ,Switzerland,46.9482713,7.4514512,Uruguay,2,0,Czechoslovakia, ,20500.0,0,0,ELLIS Arthur (ENG),LING William (ENG),SCHICKER Werner (SUI),211,1315,URU,TCH,Uruguay,Home,Draw,2,2
76,1954,16 Jun 1954 - 18:00,Group 3,Hardturm,Zurich ,Switzerland,47.3744489,8.5410422,Austria,1,0,Scotland, ,25000.0,1,0,FRANKEN Laurent (BEL),VIANA Mario (BRA),GULDE Josef (SUI),211,1236,AUT,SCO,Austria,Home,Home,1,1
77,1954,16 Jun 1954 - 18:00,Group 1,Charmilles,Geneva ,Switzerland,46.2017559,6.1466014000000000,Brazil,5,0,Mexico, ,13470.0,4,0,WYSSLING Paul (SUI),SCHONHOLZER Ernest (SUI),DA COSTA VIEIRA Jose (POR),211,1249,BRA,MEX,Brazil,Home,Home,5,5
78,1954,16 Jun 1954 - 18:00,Group 1,La Pontaise,Lausanne ,Switzerland,46.5218269,6.6327025,Yugoslavia,1,0,France, ,16000.0,1,0,GRIFFITHS Benjamin (WAL),BAUMBERGER Rene (SUI),ASENSI Manuel (ESP),211,1276,YUG,FRA,Yugoslavia,Home,Home,1,1
79,1954,17 Jun 1954 - 18:00,Group 2,Wankdorf Stadium,Berne ,Switzerland,46.9482713,7.4514512,Germany,4,1,Turkey, ,28000.0,1,1,DA COSTA VIEIRA Jose (POR),ZSOLT Istvan (HUN),MERLOTTI Armand (SUI),211,1283,FRG,TUR,Germany,Home,Draw,5,3
80,1954,17 Jun 1954 - 18:00,Group 2,Hardturm,Zurich ,Switzerland,47.3744489,8.5410422,Hungary,9,0,Korea Republic, ,13000.0,4,0,VINCENTI Raymond (FRA),VON GUNTER Albert (SUI),STEINER Carl (AUT),211,1294,HUN,KOR,Hungary,Home,Home,9,9
81,1954,17 Jun 1954 - 18:10,Group 4,St. Jakob,Basel ,Switzerland,47.55810770000000,7.5878261,England,4,4,Belgium, ,14000.0,0,0,SCHMETZER Emil (FRG),BUCHMUELLER Fritz (SUI),RUFFLI Willy (SUI),211,1240,ENG,BEL,Draw,Draw,Draw,8,0
82,1954,17 Jun 1954 - 17:50,Group 4,La Pontaise,Lausanne ,Switzerland,46.5218269,6.6327025,Switzerland,2,1,Italy, ,43000.0,1,1,VIANA Mario (BRA),ASENSI Manuel (ESP),MARINO Esteban (URU),211,1300,SUI,ITA,Switzerland,Home,Draw,3,1
83,1954,19 Jun 1954 - 16:50,Group 3,St. Jakob,Basel ,Switzerland,47.55810770000000,7.5878261,Uruguay,7,0,Scotland, ,34000.0,2,0,ORLANDINI Vincenzo (ITA),WYSSLING Paul (SUI),GUIDI Denilo (SUI),211,1313,URU,SCO,Uruguay,Home,Home,7,7
84,1954,19 Jun 1954 - 17:00,Group 3,Hardturm,Zurich ,Switzerland,47.3744489,8.5410422,Austria,5,0,Czechoslovakia, ,26000.0,4,0,STEFANOVIC Vasa (YUG),DOERFLINGER Ernst (SUI),GULDE Josef (SUI),211,1238,AUT,TCH,Austria,Home,Home,5,5
85,1954,19 Jun 1954 - 17:10,Group 1,Charmilles,Geneva ,Switzerland,46.2017559,6.1466014000000000,France,3,2,Mexico, ,19000.0,1,0,ASENSI Manuel (ESP),FRANKEN Laurent (BEL),BAUMBERGER Rene (SUI),211,1275,FRA,MEX,France,Home,Home,5,1
86,1954,19 Jun 1954 - 17:00,Group 1,La Pontaise,Lausanne ,Switzerland,46.5218269,6.6327025,Brazil,1,1,Yugoslavia, ,24637.0,0,0,FAULTLESS Charlie (SCO),ELLIS Arthur (ENG),VON GUNTER Albert (SUI),211,1252,BRA,YUG,Draw,Draw,Draw,2,0
